,Owari Precision Products (India) Pvt Ltd,Owari,January,,,56,113190
,Paras Power Engineering Pvt Ltd,Paras,January,,,16,24068
,Pentair Valves And Control India Private Limited,Pentair,January,,,9,16757
,Persistent System Ltd,Persistent,January,,,3,7222
,Piaggio Vehicles Private Limited.,P3W Vehicle,January,,,215,326858
,Piaggio Vehicles Pvt Ltd,P2W,January,,,37,55043
,Plansee India High Performance Materials Private Ltd,Plansee,January,,,20,21470
,POSCO Maharashtra Steel Pvt. Ltd,Posco,January,,,4,8128
,PPG ASIAN PAINTS PRIVATE LIMITED,PPG,January,,,52,71961
,Precision Plastic Engineering Pvt Ltd,Precision Plastic,January,,,14,25173
,Premium Transmission Limited,Premium,January,,,86,181336
,R.STAHL PRIVATE LIMITED,Rsthal,January,,,12,26899
,Rajiv Plastics Pvt Ltd,Rajiv Plastic,January,,,12,12749
,Rao Nursing Home,Rao Nursing,January,,,29,27484
,Recipharm Pharmaservices Pvt Ltd,Recipharma,January,,,55,113837
,Remsons Industries Ltd,Remsons Gurgaon,January,,,238,523094
,Remsons Industries Ltd.,Remsons Daman,January,,,1,23452
,Remsons Industries Ltd.,Remsons A-23,January,,,34,39791
,RENATA PRECISION COMPONENTS PVT LTD,Renata Karandi,January,,,138,279251
,RENATA PRECISION COMPONENTS PVT LTD.,Renata Bhosari,January,,,2,2136
,Renata Precision Components Pvt Ltd.,Renata Karandi Naps,January,,,10,26718
,Renata Precision Components Pvt. Ltd-,Renata Sector 7,January,,,15,37188
,RINDER INDIA PVT. LTD.,Rinder Chakan,January,,,30,42320
,ROKIMINDA CO PRIVATE LTD,Rokiminda,January,,,78,157657
,R-Vision Plastic Industries Ltd,R Vision,January,,,1,2596
,Saehan Stamping Private Limited,Saehan Stamping,January,,,136,136251
,Sakthi Gear Products (Unit 2),Sakhti Gear Unit 2,January,,,8,6928
,San and San Auto Private Limited,San & San,January,,,14,13593
,Schmetz India Private Limited,Schmetz,January,,,17,17642
,Schneider Electric India Pvt.Ltd.,Schneider Hyderabad,January,,,340,748325
,Schneider Electric Infrastructure Limited,Schneider Vadodara,January,,,1,1914
