Company_ID,Name_of_Company,Unit,IPP
Valeo,Valeo India Pvt Ltd,8255,4331.0
Valeo,Valeo India Pvt Ltd,8255,4331.0
Varroc AMD,Varroc Engineering Ltd - ,356,189.0
VEPL III,Varroc Engineering Ltd - ,2944,1544.0
VEPL I,Varroc Engineering Ltd Pl,2813,1480.0
VEPL VIII,Varroc Engineering Ltd Pl,834,441.0
VEPL II,Varroc Engineering Ltd Un,3808,1334.0
VEPL II,Varroc Engineering Ltd Un,3808,1334.0
VEPL_V,Varroc Engineering Pvt Lt,2910,1528.0
VEPL_V,Varroc Engineering Pvt Lt,2910,1528.0
VEPL IV,Varroc Engineering Pvt Lt,3166,1670.0
VEPL VI,Varroc Engineering Pvt Lt,1209,630.0
VEPL VI,Varroc Engineering Pvt Lt,1209,630.0
Varroc Forging VII,Varroc Engineering Pvt Lt,401,205.0
Varroc Val VII,Varroc Engineering Pvt Lt,2132,1118.0
Varroc Chennai,Varroc Engineering Pvt. L,319,173.0
VPPL II,Varroc Polymers Pvt Ltd -,2539,1339.0
VPPL II,Varroc Polymers Pvt Ltd -,2539,1339.0
VPPL I,Varroc Polymers Pvt Ltd -,2131,1118.0
VPPL I,Varroc Polymers Pvt Ltd -,2131,1118.0
Varroc Chakan,Varroc Polymers Pvt Ltd (,145,79.0
Varsa Plastic,Varsa Plastic Industries ,1580,1252.0
Varsa Plastic,Varsa Plastic Industries ,1580,1252.0
Varsa Plastic Unit 2,Varsa Plastic Industries ,1224,969.0
Varsa Plastic Unit 6,Varsa Plastic Industries ,27,24.0
Visteon,Visteon Electronics India,3379,396.0
Walvoil,WALVOIL FLUID POWER INDIA,1815,420.0
Weir Mineral,WEIR MINERALS (INDIA) PRI,729,84.0
Western Heat Bhosari,Western Heat And Forge Pv,103,106.0
Wheels India,Wheels India Ltd,118,63.0
Wipro,Wipro Kawasaki Precision ,1704,399.0
Yagachi,Yagachi Technologies Pvt ,2568,903.0
Yash Precision,Yash Precision Plastics P,107,63.0
Yuken Malur,Yuken India Limited,1131,266.0
Yuken Peenya,Yuken India Limited,0,0.0
