Remsons Industries Ltd.,Remsons Daman,NEEM,874.5,23452
Remsons Industries Ltd.,Remsons A-23,NEEM,1,39791
RENATA PRECISION COMPONENTS PVT LTD,Renata Karandi,NEEM,3195.5,279251
RENATA PRECISION COMPONENTS PVT LTD.,Renata Bhosari,NEEM,298.5,2136
Renata Precision Components Pvt Ltd.,Renata Karandi Naps,NAPS,22,26718
Renata Precision Components Pvt. Ltd-,Renata Sector 7,NEEM,438,37188
RINDER INDIA PVT. LTD.,Rinder Chakan,NEEM,672.5,42320
ROKIMINDA CO PRIVATE LTD,Rokiminda,NEEM,2128,157657
R-Vision Plastic Industries Ltd,R Vision,NEEM,31,2596
Saehan Stamping Private Limited,Saehan Stamping,NEEM,3353,136251
Sakthi Gear Products (Unit 2),Sakhti Gear Unit 2,NEEM,158.5,6928
San and San Auto Private Limited,San & San,NEEM,311,13593
Schmetz India Private Limited,Schmetz,NEEM,515,17642
Schneider Electric India Pvt.Ltd.,Schneider Hyderabad,NEEM,9494,748325
Schneider Electric Infrastructure Limited,Schneider Vadodara,NEEM,29,1914
Schneider Electric IT Business India Pvt. Ltd,Schneider Banglore,NEEM,4039,384366
Schneider Electric IT Business India Pvt.Ltd.,Schneider Rudranagar,NEEM,646,46011
SCHNEIDER ELECTRIC PRESIDENT SYSTEMS LTD,Schneider President,NEEM,1467,134934
Schneider Electric SEPFC,Schneider SEPFC,NEEM,6174,482228
Selec Control Pvt Ltd,Selec Control,NEEM,1169,46698
Selec Control Pvt Ltd,Selec EL 180,NEEM,2396.5,37379
Selec Control Pvt Ltd,Selec EL 171,NEEM,864,40944
Selec Control Pvt Ltd.,Selec EL 67,NEEM,1027,96165
SELTECH SALES & SERVICES,Seltech,NEEM,2407,96110
Senapathy Whiteley Pvt Ltd,Senapathy,NEEM,1332,94864
SFO Technologies Pvt Ltd,SFO,NEEM,153,11065
SHIRODKAR PRECI COMP PVT LTD,Shirodkar,NEEM,270,15417
Shivam Autotech Ltd,Shivam,NEEM,637.5,24268
Shubhra Plastics Private Limited,Shubhra,NEEM,1218,97012
Slidewell Meilleur Tech Private Limited,Slidewell Nashik,NEEM,85.5,3464
Stanley Lifestyles Limited,Stanley Lifestyle,NEEM,1078,30771
STANLEY OEM SOFAS LTD,Stanley Sofas,NEEM,942,26889
Stanzen Engineering Pvt Ltd,Stanzen,NEEM,1571,127194
Sujan Cooper Standard AVS Pvt Ltd,Sujan,NEEM,582,40727
Sulzer India Pvt Ltd,Sulzer EL,EL,213,16757
Sulzer India Pvt. Ltd.,Sulzer NEEM,NEEM,124,10761
Supreme Treon Pvt Ltd,Supreme,NEEM,539.5,40257
Taparia Tools Ltd,Taparia,EL,5830.9,713508
Tata Cummins Private Limited (TCL 2),Cummins TCL2,NEEM,249,16784
Tata Cummins Private Limited (TCL 3),Cummins TCL3,NEEM,833,56838
Tata Hitachi Construction Machinery Company Private Limited,Tata Hitachi,NEEM,2900,306140
Thyssenkrupp Elevator (India)Private Limited (MPF),Thyssenkrupp,NEEM,581,61535
TMEIC Industrial Systems India Private Limited,TMEIC RM Unit,NEEM,7778.5,228940
TMEIC INDUSTRIAL SYSTEMS INDIA PRIVATE LIMITED.,TMEIC PE Unit,NEEM,2813.5,586238
Tokai Rika Minda India Pvt Ltd,Tokai Rika,NEEM,6014.5,238108
TOYODA GOSEI SOUTH INDIA PVT LTD,Toyoda Gosei,NEEM,2492,171523
Toyota Boshoku Automotive India Pvt Ltd,Toyota Boshoku,NEEM,9039,602097
TOYOTA BOSHOKU AUTOMOTIVE INDIA PVT LTD.,Toyota Boshoku Hosur,NEEM,1004,63063
Toyota Industries Engine India Pvt Ltd,Toyota Engine,NEEM,8521,586495
Toyotetsu India Private Limited,Toyotetsu,NEEM,3128,256286
Unibic Foods India Private Limited,Unibic,NEEM,543,45111
Valeo India Pvt Ltd,Valeo,EL,8255,912742
Varroc Engineering Ltd - AMD,Varroc AMD,NEEM,356.5,16284
Varroc Engineering Ltd - III,VEPL III,NEEM,2944.91,134517
Varroc Engineering Ltd Plant I,VEPL I,NEEM,2813.94,128535
Varroc Engineering Ltd Plant VIII,VEPL VIII,NEEM,834.89,43781
Varroc Engineering Ltd Unit II,VEPL II,NEEM,3808.4,173959
Varroc Engineering Pvt Ltd,VEPL_V,NEEM,2910,158470
Varroc Engineering Pvt Ltd IV,VEPL IV,NEEM,3166.89,144652
Varroc Engineering Pvt Ltd -VI,VEPL VI,NEEM,1209.29,55238
Varroc Engineering Pvt Ltd VII (Forging),Varroc Forging VII,NEEM,401.68,21872
Varroc Engineering Pvt Ltd VII (Val),Varroc Val VII,NEEM,2132,116105
Varroc Engineering Pvt. Ltd Chennai,Varroc Chennai,NEEM,319.5,14594
Varroc Polymers Pvt Ltd - II,VPPL II,NEEM,2539,115971
Varroc Polymers Pvt Ltd - Plant I,VPPL I,NEEM,2131.16,97347
Varroc Polymers Pvt Ltd (CK),Varroc Chakan,NEEM,145,6623
Varsa Plastic Industries Pvt Ltd,Varsa Plastic,NEEM,1580,127629
Varsa Plastic Industries Pvt Ltd Unit - II,Varsa Plastic Unit 2,NEEM,1224,98492
Varsa Plastic Industries Pvt Ltd Unit - VI,Varsa Plastic Unit 6,NEEM,27,2261
Visteon Electronics India Pvt Ltd,Visteon,NEEM,3379,141435
WALVOIL FLUID POWER INDIA PVT.LTD,Walvoil,NEEM,1815,146758
WEIR MINERALS (INDIA) PRIVATE LIMITED,Weir Mineral,NEEM,729,27751
Western Heat And Forge Pvt Ltd,Western Heat Bhosari,NEEM,103.5,10317
Wheels India Ltd,Wheels India,NEEM,118,7709
Wipro Kawasaki Precision Machinery Private Limited (WiproKPM),Wipro,NEEM,1704,130995
Yagachi Technologies Pvt Ltd,Yagachi,NEEM,2568,168415
Yash Precision Plastics Private Limited,Yash Precision,NEEM,107,8613
Yuken India Limited,Yuken Malur,NEEM,1131.5,129384
Yuken India Limited,Yuken Peenya,NEEM,0,0
Zamil Steel Buildings India Pvt Ltd,Zamil Steel,NEEM,638,59823
