LG Electronics India Pvt Ltd,LG,NEEM,SRP,1,1.5,1,1,1
LG Electronics India Pvt Ltd,LG,NEEM,SRP,1,1.5,1,1,1
LG Electronics India Pvt Ltd,LG,NEEM,SRP,1,1.5,1,1,1
Lumax Auto Technologies Ltd,Lumax Kolar,NEEM,SRP,1.5,1.5,1,1,1
Lumax Auto Technologies Ltd,Lumax Kolar,NEEM,SRP,1.5,1.5,1,1,1
Lumax Auto Technologies Ltd,Lumax Kolar,NEEM,SRP,1.5,1.5,1,1,1
Lumax Industries Ltd,Lumax Bidadi,NEEM,SRP,1.5,1.5,1,1,1
Lumiere Coolants Ltd,Lumiere,NEEM,SRP,1.5,1,1,1,1
M/S. Schneider Electric India Pvt Limited,Schneider Chennai,NEEM,Bridge 1,1,1,1,1,1
M/S. Schneider Electric India Pvt Limited,Schneider Chennai,NEEM,Bridge 1,1,1,1,1,1
Magellan Aerospace (India) Private Limited,Magellan,NEEM,Franchisee,1,1,1,1,1
Magneti Marelli Motherson Auto Systems Limited,MMM NEEM,NEEM,SRP,1.5,1.5,1,1.5,1
Mahindra CIE Automotive Limited (Gears Division),Mahindra CIE Rajkot,NEEM,SRP,1,1.5,1,1.5,1.5
MAHINDRA CIE Automotive Ltd-,MHL Urse NEEM,NEEM,SRP,1,1,1,1.5,1
MAHINDRA CIE Automotive Ltd-,MHL Urse NEEM,NEEM,SRP,1,1,1,1.5,1
MAHINDRA CIE Automotive Ltd-,MHL Urse NEEM,NEEM,SRP,1,1,1,1.5,1
MAHINDRA CIE Automotive Ltd-,MHL Urse NEEM,NEEM,SRP,1,1,1,1.5,1
MAHINDRA CIE Automotive Ltd.,MHL Bhosari,NEEM,SRP,1,1.5,1,1.5,1
MAHINDRA CIE Automotive Ltd.,MHL Bhosari,NEEM,SRP,1,1.5,1,1.5,1
Mahindra CIE Automotive Ltd. (Gear Division Pune),Mahindra Gear,NEEM,SRP,1,1.5,1,1.5,1
Mahindra CIE Automotive Ltd. (Gear Division Pune),,NEEM,SRP,1,1.5,1,1.5,1
Mahindra Sanyo Special Steel Pvt. Ltd,MSSL,EL,OP,1.5,1,1,1,1
Mahindra Sanyo Special Steel Pvt. Ltd .,MSSL NEEM,NEEM,OP,1.5,1,1,1,1
Mars International India Pvt. Ltd.,Mars,EL,OP,1,1,1,1,1
Maxion Wheels Aluminum India Private Limited,Maxion,NEEM,SRP,1,1,1,1,1.5
Menon & Menon Limited,Menon EL,EL,SRP,1.5,1.5,1.5,1.5,1
Menon & Menon Limited,Menon NEEM,EL,SRP,1.5,1.5,1.5,1.5,1
Menon & Menon Limited,Menon Kagal NEEM,EL,SRP,1.5,1.5,1.5,1.5,1
Menon & Menon Limited,Menon NEEM,EL,SRP,1.5,1.5,1.5,1.5,1
Menon & Menon Limited,Menon NEEM,EL,SRP,1.5,1.5,1.5,1.5,1
Menon & Menon Limited -,Menon NEEM,NEEM,SRP,1.5,1.5,1,1.5,1.5
Menon & Menon Limited.,Menon Kagal EL,EL,SRP,1.5,1.5,1.5,1.5,1
Menon & Menon Limited.,Menon Kagal NEEM,EL,SRP,1.5,1.5,1.5,1.5,1
Menon & Menon Limited..,Menon Kagal NEEM,NEEM,SRP,1.5,1.5,1,1.5,1.5
Menon Pistons Ltd,Menon Piston EL,EL,SRP,1,1.5,1.5,1.5,1
Mercedes Benz,Mercedes,NEEM,OP,1,1,1,1,1
Mercedes Benz,Mercedes Blue Collar,NEEM,OP,1,1,1,1,1
Metalyst Forging Ltd,MFL,EL,SRP,1.5,1.5,1.5,1.5,1
METRO Cash & Carry India Pvt Ltd DC 28,Metro Cash DC 28,NEEM,OP,1,1,1,1,1
Metro Cash and Carry India DC 16,Metro Cash DC 16,NEEM,SRP,1,1,1,1,1.5
Metro Cash and Carry India DC 47,Metro Cash DC 47,NEEM,SRP,1,1.5,1,1,1.5
Metro Cash and Carry India DC 53,Metro Cash DC 53,NEEM,OP,1,1,1,1,1
Metro Cash and Carry India DC 60,Metro Cash DC 60,NEEM,SRP,1,1,1,1,1
Metro Cash and Carry India Pvt Ltd DC 10,Metro Cash DC 10,NEEM,Franchisee,1,1,1,1,1
Metro Cash and Carry India Pvt Ltd DC 11,Metro Cash DC 11,NEEM,Franchisee,1,1,1,1,1
Metro Cash and Carry India Pvt Ltd DC 12,Metro Cash DC 12,NEEM,SRP,1,1.5,1,1,1.5
Metro Cash and Carry India Pvt Ltd DC 15,Metro Cash DC 15,NEEM,SRP,1,1,1,1,1.5
Metro Cash and Carry India Pvt Ltd DC 17,Metro Cash DC 17,NEEM,SRP,1,1,1,1,1
Metro Cash and Carry India Pvt Ltd DC 18,Metro Cash DC 18,NEEM,Franchisee,1,1,1,1,1
Metro Cash and Carry India Pvt Ltd DC 19,Metro Cash DC 19,NEEM,Franchisee,1,1,1,1,1
Metro Cash and Carry India Pvt Ltd DC 24,Metro Cash DC 24,NEEM,SRP,1,1,1,1,1.5
Metro Cash and Carry India Pvt Ltd DC 25,Metro Cash DC 25,NEEM,OP,1,1,1,1,1
Metro Cash and Carry India Pvt Ltd DC 26,Metro Cash DC 26,NEEM,Franchisee,1,1,1,1,1
